Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chris Clemons\chris-clemons-2,SR,2018-19,G,Campbell,Big South,33,1208,304,679,165,290,139,389,246,283,25,142,167,94,49,11,84,63,993
2,Justin Wright-Foreman\justin-wright-foreman-1,SR,2018-19,G,Hofstra,CAA,35,1321,330,646,220,387,110,259,178,206,12,129,141,102,30,7,91,67,948
3,Carsen Edwards\carsen-edwards-1,JR,2018-19,G,Purdue,Big Ten,36,1275,277,704,142,324,135,380,185,221,14,116,130,104,48,10,113,73,874
4,R.J. Barrett\rj-barrett-1,FR,2018-19,F,Duke,ACC,38,1341,319,702,246,465,73,237,149,224,59,229,288,164,34,16,123,70,860
5,Jermaine Marrow\jermaine-marrow-1,JR,2018-19,G,Hampton,Big South,35,1275,274,649,186,411,88,238,218,269,26,116,142,171,56,6,111,109,854
6,Markus Howard\markus-howard-1,JR,2018-19,G,Marquette,Big East,34,1138,252,600,132,302,120,298,227,255,14,120,134,133,36,1,134,72,851
7,Mike Daum\mike-daum-1,SR,2018-19,F,South Dakota State,Summit,33,1099,286,559,219,378,67,181,196,234,78,307,385,58,24,32,73,95,835
8,Lamine Diane\lamine-diane-1,FR,2018-19,F,Cal State Northridge,Big West,33,1165,340,701,333,678,7,23,131,251,108,260,368,68,50,72,105,112,818
9,Ja Morant\temetrius-morant-1,SO,2018-19,G,Murray State,OVC,33,1207,265,531,208,374,57,157,221,272,40,148,188,331,58,27,170,48,808
10,Antoine Davis\antoine-davis-2,FR,2018-19,G,Detroit Mercy,Horizon,30,1122,263,657,131,310,132,347,126,147,22,72,94,107,28,0,99,70,784
11,Myles Powell\myles-powell-1,JR,2018-19,G,Seton Hall,Big East,34,1225,252,565,145,270,107,295,173,206,26,111,137,99,68,6,100,77,784
12,Garrison Mathews\garrison-matthews-1,SR,2018-19,G,Lipscomb,A-Sun,36,1082,223,502,107,214,116,288,190,221,25,172,197,70,30,9,82,68,752
13,Jordan Davis\jordan-davis-2,SR,2018-19,G,Northern Colorado,Big Sky,32,1082,256,537,202,388,54,149,184,230,28,122,150,150,45,10,106,73,750
14,Jon Elmore\jon-elmore-1,SR,2018-19,G,Marshall,CUSA,37,1330,234,595,120,282,114,313,166,211,11,178,189,187,64,20,114,74,748
15,Zion Williamson\zion-williamson-1,FR,2018-19,F,Duke,ACC,33,990,296,435,272,364,24,71,130,203,116,177,293,68,70,59,78,68,746
16,Nick Mayo\nick-mayo-1,SR,2018-19,F,Eastern Kentucky,OVC,31,1079,245,530,191,367,54,163,190,220,70,201,271,70,38,55,85,83,734
17,Cassius Winston\cassius-winston-1,JR,2018-19,G,Michigan State,Big Ten,39,1308,243,528,159,317,84,211,163,194,13,104,117,292,40,4,114,75,733
18,Sam Merrill\sam-merrill-1,JR,2018-19,G,Utah State,MWC,35,1237,228,495,142,266,86,229,189,208,12,126,138,145,37,9,67,86,731
19,Rui Hachimura\rui-hachimura-1,JR,2018-19,F,Gonzaga,WCC,37,1117,275,465,260,429,15,36,164,222,52,188,240,57,35,27,68,74,729
20,Cameron Young\cameron-young-1,SR,2018-19,G,Quinnipiac,MAAC,31,1113,222,461,118,223,104,238,180,235,31,128,159,58,35,9,89,69,728
21,RJ Cole\rj-cole-1,SO,2018-19,G,Howard,MEAC,34,1209,218,525,134,308,84,217,207,253,24,116,140,218,64,1,110,76,727
22,Grant Riller\grant-riller-1,JR,2018-19,G,College of Charleston,CAA,33,1172,264,491,218,351,46,140,150,186,19,94,113,134,41,2,79,56,724
23,Ty Cockfield\ty-cockfield-1,SR,2018-19,G,Arkansas State,Sun Belt,32,1122,237,540,168,346,69,194,173,211,26,88,114,103,36,4,94,65,716
24,Jordan Ford\jordan-ford-1,JR,2018-19,G,Saint Mary's (CA),WCC,34,1255,255,521,185,351,70,170,136,170,17,78,95,85,43,1,65,57,716
25,Fletcher Magee\fletcher-magee-1,SR,2018-19,G,Wofford,Southern,35,1098,225,513,67,136,158,377,101,111,13,76,89,55,26,3,49,50,709
