Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2013,NBA,2,60,MEM,Janis Timma\timmaja01,21.000,F,lv,,,,,,,,,,,,,,,,
2,2014,NBA,2,60,SAS,Cory Jefferson\jeffeco01,23.188,F,us,Baylor University,2015,2016,58,10.0,3.5,2.8,0.3,0.2,0.4,.444,.474,.125,.583,0.9,.071
3,2015,NBA,2,60,PHI,Luka Mitrovic\mitrolu01,22.101,F,rs,,,,,,,,,,,,,,,,
4,2016,NBA,2,60,UTA,Tyrone Wallace\wallaty01,22.019,G,us,University of California,2018,2019,92,16.1,5.5,2.2,1.2,0.5,0.2,.435,.464,.237,.674,0.5,.015
5,2017,NBA,2,60,ATL,Alpha Kaba\kabaal01,21.150,F,fr,,,,,,,,,,,,,,,,
6,2018,NBA,2,60,PHI,Kostas Antetokounmpo\antetko01,20.218,F,gr,University of Dayton,2019,2019,2,5.5,1.0,0.5,0.0,1.0,0.0,.000,.000,,.500,-0.1,-0.247
7,2013,NBA,2,59,MIN,Bojan Dubljevic\dubljbo01,21.252,F-C,me,,,,,,,,,,,,,,,,
8,2014,NBA,2,59,TOR,Xavier Thames\thamexa01,23.164,G,us,San Diego State University,,,,,,,,,,,,,,,
9,2015,NBA,2,59,ATL,Dimitrios Agravanis\agravdi01,20.192,F-C,gr,,,,,,,,,,,,,,,,
10,2016,NBA,2,59,SAC,Isaiah Cousins\cousiis01,22.108,G,us,University of Oklahoma,,,,,,,,,,,,,,,
11,2017,NBA,2,59,SAS,Jaron Blossomgame\blossja01,23.285,F,us,Clemson University,2019,2019,27,16.3,4.2,3.6,0.5,0.3,0.3,.443,.552,.256,.769,0.3,.030
12,2018,NBA,2,59,PHO,George King\kingge03,24.163,G-F,us,University of Colorado,2019,2019,1,6.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,-0.001
13,2013,NBA,2,58,SAS,Deshaun Thomas\thomade01,21.308,F,us,Ohio State University,,,,,,,,,,,,,,,
14,2014,NBA,2,58,SAS,Jordan McRae\mcraejo01,23.096,G,us,University of Tennessee,2016,2019,86,10.6,4.9,1.2,0.9,0.3,0.2,.427,.460,.352,.784,1.0,.051
15,2015,NBA,2,58,PHI,J.P. Tokoto\tokotjp01,21.288,G-F,us,University of North Carolina,,,,,,,,,,,,,,,
16,2016,NBA,2,58,BOS,Abdel Nader\naderab01,22.277,F,eg,Iowa State University,2018,2019,109,11.2,3.6,1.7,0.4,0.3,0.2,.387,.432,.333,.667,0.8,.030
17,2017,NBA,2,58,NYK,Ognjen Jaramaz\jaramog01,21.300,G,yu,,,,,,,,,,,,,,,,
18,2018,NBA,2,58,DEN,Thomas Welsh\welshth01,22.144,C,us,University of California Los Angeles,2019,2019,11,3.3,1.6,0.4,0.5,0.0,0.0,.538,.667,.429,.500,0.1,.162
19,2013,NBA,2,57,PHO,Alex Oriakhi\oriakal01,23.012,F,us,University of Missouri,,,,,,,,,,,,,,,
20,2014,NBA,2,57,IND,Louis Labeyrie\labeylo01,22.141,F,fr,,,,,,,,,,,,,,,,
21,2015,NBA,2,57,DEN,Nikola Radicevic\radicni01,21.066,G,rs,,,,,,,,,,,,,,,,
22,2016,NBA,2,57,MEM,Wang Zhelin\sheliwa01,22.160,C,cn,,,,,,,,,,,,,,,,
23,2017,NBA,2,57,BRK,Aleksandar Vezenkov\vezenal01,21.326,F,cy,,,,,,,,,,,,,,,,
24,2018,NBA,2,57,OKC,Kevin Hervey\herveke01,21.352,F,us,University of Texas at Arlington,,,,,,,,,,,,,,,
25,2013,NBA,2,56,DET,Peyton Siva\sivape01,22.252,G,us,University of Louisville,2014,2014,24,9.3,2.3,0.6,1.4,0.4,0.0,.316,.344,.280,.733,-0.2,-0.032
26,2014,NBA,2,56,DEN,Roy Devyn Marble\marblde01,21.283,G-F,us,University of Iowa,2015,2016,44,10.4,2.2,1.6,0.7,0.5,0.1,.304,.377,.222,.375,-0.3,-0.028
27,2015,NBA,2,56,NOP,Branden Dawson\dawsobr01,22.149,F,us,Michigan State University,2016,2016,6,4.8,0.8,0.7,0.0,0.0,0.2,.400,.400,,1.000,0.0,.069
28,2016,NBA,2,56,DEN,Daniel Hamilton\hamilda02,20.325,G-F,us,University of Connecticut,2018,2019,25,9.3,2.8,2.1,1.2,0.3,0.0,.394,.419,.357,.500,0.0,.000
29,2017,NBA,2,56,BOS,Jabari Bird\birdja01,22.360,G,us,University of California,2018,2018,13,8.8,3.0,1.5,0.6,0.2,0.1,.577,.632,.429,.462,0.2,.098
30,2018,NBA,2,56,PHI,Ray Spalding\spaldra01,21.107,F,us,University of Louisville,2019,2019,14,10.6,3.9,3.4,0.4,0.6,0.6,.532,.568,.000,.333,0.2,.051
31,2013,NBA,2,55,MEM,Joffrey Lauvergne\lauvejo01,21.276,C-F,fr,,2015,2018,208,13.6,5.6,3.8,0.9,0.3,0.2,.479,.520,.285,.719,5.2,.089
32,2014,NBA,2,55,MIA,Semaj Christon\chrisse01,21.242,G,us,Xavier University,2017,2017,64,15.2,2.9,1.4,2.0,0.4,0.1,.345,.406,.190,.548,0.1,.006
33,2015,NBA,2,55,SAS,Cady Lalanne\lalanca01,23.069,C,ht,University of Massachusetts Amherst,,,,,,,,,,,,,,,
